hours,day,hour_of_day,city,pressure,air_temp,ground_temp,velocity_x,velocity_y,windspeed,damage
1,1,0,Tensorburg,0.9928,0.0,0.0008,-0.0553,0.0186,0.0594,1.271
1,1,0,Sparseville,1.011,-0.0002,-0.0039,-0.0966,-0.0173,0.0986,1.4844
1,1,0,Offshore B,0.9903,-0.0,-0.0003,-0.0965,-0.0332,0.1026,1.5091
1,1,0,ReLU Ridge,0.984,-0.0001,-0.0006,-0.0617,0.005,0.0632,1.289
1,1,0,GANopolis,0.9864,0.0001,0.0021,-0.1179,0.0295,0.1219,1.6323
1,1,0,Bayes Bay,0.9976,0.0,-0.0001,-0.1119,-0.008,0.1125,1.5717
1,1,0,Gradient Grove,0.9744,-0.0001,-0.0021,-0.1032,0.0269,0.107,1.5363
1,1,0,Offshore A,0.9874,0.0001,0.0022,-0.118,0.0088,0.1186,1.6078
2,1,1,Offshore A,0.9887,0.0004,0.0031,-0.1171,0.0149,0.1182,1.6051
2,1,1,Gradient Grove,0.9907,-0.0004,-0.0025,-0.1188,0.0184,0.1203,1.6184
2,1,1,Bayes Bay,0.9801,-0.0001,-0.0008,-0.0667,-0.0085,0.0675,1.3103
2,1,1,GANopolis,0.9896,0.0004,0.0028,-0.0946,0.031,0.0999,1.4919
2,1,1,ReLU Ridge,0.9924,-0.0006,-0.0039,-0.0738,-0.0161,0.076,1.3562
2,1,1,Offshore B,0.9796,-0.0002,-0.0011,-0.0965,-0.0222,0.0995,1.4893
2,1,1,Sparseville,0.9873,-0.0002,-0.0016,-0.1041,-0.0219,0.1067,1.5335
2,1,1,Tensorburg,0.9798,-0.0004,-0.0027,-0.0617,0.0097,0.0637,1.2911
3,1,2,Bayes Bay,0.9653,-0.0009,-0.0043,-0.0707,-0.0002,0.0709,1.3283
3,1,2,GANopolis,0.9662,0.0003,0.0014,-0.0887,0.0432,0.099,1.4865
3,1,2,Offshore A,0.9759,0.0008,0.0038,-0.1135,0.0192,0.1152,1.5856
3,1,2,Gradient Grove,0.9696,-0.0003,-0.0012,-0.1276,0.014,0.1284,1.6718
3,1,2,Sparseville,0.9743,0.0005,0.0022,-0.0959,-0.0103,0.0965,1.4726
3,1,2,Tensorburg,0.9692,-0.0011,-0.0052,-0.0879,-0.0092,0.0889,1.4272
3,1,2,ReLU Ridge,0.9708,-0.0011,-0.0051,-0.0878,-0.0248,0.0913,1.4416
3,1,2,Offshore B,0.9739,-0.0007,-0.0031,-0.1109,-0.0015,0.1111,1.5602
4,1,3,Offshore B,0.9568,-0.0011,-0.0039,-0.134,0.0065,0.1342,1.7104
4,1,3,ReLU Ridge,0.951,-0.0017,-0.0057,-0.1201,-0.0157,0.1214,1.6257
4,1,3,Tensorburg,0.9445,-0.0008,-0.003,-0.099,-0.0265,0.1026,1.5078
4,1,3,Sparseville,0.9511,0.0006,0.0018,-0.0668,0.003,0.067,1.3083
4,1,3,Gradient Grove,0.9509,0.0005,0.0016,-0.1311,0.008,0.1314,1.6926
4,1,3,Offshore A,0.9587,0.0011,0.0039,-0.1169,0.0142,0.1178,1.602
4,1,3,GANopolis,0.9516,0.0003,0.0012,-0.0925,0.0427,0.1021,1.5044
4,1,3,Bayes Bay,0.9451,-0.0016,-0.0056,-0.0776,0.0128,0.079,1.3722
5,1,4,Offshore A,0.9381,0.0006,0.0021,-0.1063,0.0089,0.1067,1.5327
5,1,4,Offshore B,0.9282,-0.0006,-0.0018,-0.1226,-0.0193,0.1244,1.645
5,1,4,ReLU Ridge,0.9284,-0.0023,-0.0063,-0.1362,0.0112,0.1369,1.7289
5,1,4,Sparseville,0.9209,-0.0002,-0.0006,-0.065,-0.0017,0.0659,1.3019
5,1,4,Tensorburg,0.9171,0.0002,-0.0001,-0.1181,-0.0347,0.1231,1.6362
5,1,4,GANopolis,0.9337,0.0004,0.0017,-0.099,0.0344,0.1049,1.5213
5,1,4,Gradient Grove,0.9324,0.0016,0.004,-0.1029,0.011,0.1036,1.5147
5,1,4,Bayes Bay,0.9207,-0.0007,-0.0024,-0.116,0.0248,0.1186,1.6097
6,1,5,Bayes Bay,0.8921,0.0009,0.0016,-0.1211,0.034,0.1261,1.6564
6,1,5,Tensorburg,0.8884,0.0007,0.0008,-0.1017,-0.0334,0.1071,1.5354
6,1,5,GANopolis,0.9051,0.0006,0.0021,-0.0989,0.0268,0.1026,1.5074
6,1,5,Gradient Grove,0.9013,0.0015,0.0027,-0.0761,0.0133,0.0773,1.3631
6,1,5,Offshore B,0.9054,0.0002,0.0004,-0.1189,-0.027,0.122,1.6293
6,1,5,Sparseville,0.8949,-0.0002,-0.0006,-0.074,-0.038,0.0838,1.3985
6,1,5,ReLU Ridge,0.898,-0.0024,-0.0055,-0.1412,0.031,0.1446,1.7836
6,1,5,Offshore A,0.9124,-0.0004,0.0001,-0.0979,0.0144,0.0991,1.4868
7,1,6,ReLU Ridge,0.8758,-0.002,-0.0042,-0.1452,0.05,0.1537,1.8496
7,1,6,Offshore A,0.8882,-0.0014,-0.0015,-0.0969,0.0349,0.1031,1.5109
7,1,6,Offshore B,0.8807,-0.0006,0.0002,-0.0984,0.0008,0.0989,1.4858
7,1,6,Sparseville,0.8663,-0.0001,-0.0001,-0.075,-0.0539,0.0924,1.447
7,1,6,Gradient Grove,0.8769,-0.0003,-0.0018,-0.0692,0.0147,0.0708,1.3275
7,1,6,Bayes Bay,0.8686,0.0008,0.0013,-0.1057,0.0627,0.1234,1.6386
7,1,6,GANopolis,0.8897,0.0007,0.0024,-0.0892,0.0202,0.0914,1.442
7,1,6,Tensorburg,0.8719,-0.0,-0.0012,-0.0976,-0.0172,0.0993,1.4875
8,1,7,GANopolis,0.8704,-0.0,0.0009,-0.0715,0.0218,0.0749,1.3493
8,1,7,Tensorburg,0.8508,-0.0007,-0.0026,-0.1032,-0.0572,0.1204,1.6251
8,1,7,Bayes Bay,0.8454,0.0005,0.0005,-0.1162,0.0938,0.1493,1.818
8,1,7,Gradient Grove,0.8634,-0.0019,-0.0051,-0.087,0.0448,0.0982,1.4828
8,1,7,Offshore B,0.8713,-0.0021,-0.0022,-0.0867,0.027,0.091,1.4394
8,1,7,ReLU Ridge,0.8563,-0.0013,-0.0024,-0.1547,0.0671,0.1687,1.9639
8,1,7,Sparseville,0.8498,-0.0011,-0.0016,-0.0785,-0.0701,0.1053,1.5256
8,1,7,Offshore A,0.8758,-0.0012,-0.0006,-0.112,0.0321,0.1168,1.5958
9,1,8,Bayes Bay,0.8433,0.0005,0.0009,-0.1306,0.1019,0.1656,1.9396
9,1,8,Sparseville,0.8501,-0.0026,-0.0039,-0.1062,-0.1053,0.1496,1.8208
9,1,8,Offshore B,0.863,-0.0022,-0.0023,-0.091,0.0353,0.0977,1.478
9,1,8,Offshore A,0.8709,0.0005,0.0027,-0.0985,0.0115,0.0992,1.4876
9,1,8,ReLU Ridge,0.8494,0.0004,0.0008,-0.1525,0.0554,0.1622,1.915
9,1,8,GANopolis,0.8661,-0.0012,-0.0013,-0.0659,0.0265,0.071,1.3285
9,1,8,Gradient Grove,0.8513,-0.0028,-0.0065,-0.1321,0.089,0.1594,1.9018
9,1,8,Tensorburg,0.85,-0.0008,-0.0026,-0.1572,-0.1231,0.201,2.2376
10,1,9,Sparseville,0.8562,-0.0023,-0.0033,-0.1193,-0.0805,0.1441,1.7818
10,1,9,Offshore B,0.8644,-0.0012,-0.0007,-0.0771,0.0394,0.0868,1.415
10,1,9,Offshore A,0.8723,0.0022,0.0054,-0.0817,0.0033,0.0818,1.3874
10,1,9,Bayes Bay,0.8483,0.0002,0.0008,-0.1229,0.098,0.1572,1.8756
10,1,9,Tensorburg,0.8549,-0.0006,-0.002,-0.1663,-0.0192,0.1692,1.9721
10,1,9,Gradient Grove,0.8121,-0.0026,-0.0061,-0.2046,0.1179,0.2387,2.6017
10,1,9,GANopolis,0.8635,-0.0007,-0.0007,-0.0686,0.021,0.0718,1.3328
10,1,9,ReLU Ridge,0.8548,0.0022,0.0037,-0.1184,0.0595,0.1327,1.7008
11,1,10,Gradient Grove,0.7802,-0.003,-0.0064,-0.264,-0.0789,0.2818,3.0993
11,1,10,Bayes Bay,0.8539,-0.0003,0.0003,-0.1193,0.0964,0.1534,1.8474
11,1,10,Tensorburg,0.8606,-0.0003,-0.0011,-0.1353,0.0099,0.1357,1.721
11,1,10,GANopolis,0.8639,0.0011,0.0015,-0.0578,0.0172,0.0603,1.273
11,1,10,Offshore B,0.8621,0.0003,0.0012,-0.0654,0.0545,0.0853,1.4066
11,1,10,ReLU Ridge,0.8588,0.0016,0.0027,-0.0935,0.0761,0.1209,1.6223
11,1,10,Sparseville,0.8544,-0.0009,-0.0015,-0.0883,-0.0683,0.112,1.5653
11,1,10,Offshore A,0.8737,0.0034,0.0069,-0.0681,-0.0002,0.0681,1.3134
12,1,11,Offshore A,0.8697,0.0036,0.0065,-0.0507,-0.0014,0.0507,1.2252
12,1,11,Offshore B,0.8615,0.0013,0.0021,-0.0739,0.0677,0.1003,1.4937
12,1,11,ReLU Ridge,0.8548,-0.0004,-0.0004,-0.0906,0.1014,0.1361,1.7242
12,1,11,Sparseville,0.8469,0.0007,0.0004,-0.0963,-0.082,0.1265,1.659
12,1,11,GANopolis,0.8621,0.0022,0.0024,-0.0467,0.0156,0.0492,1.2175
12,1,11,Tensorburg,0.8599,0.0,-0.0002,-0.1357,0.0258,0.1383,1.7388
12,1,11,Bayes Bay,0.8659,0.0003,0.0014,-0.1147,0.0712,0.1351,1.7182
12,1,11,Gradient Grove,0.8156,-0.0043,-0.0077,-0.2446,-0.1815,0.305,3.3923
13,1,12,GANopolis,0.8695,-0.0,-0.0013,-0.0716,0.0177,0.0739,1.3444
13,1,12,Offshore A,0.8629,0.0027,0.0039,-0.0311,-0.0055,0.0317,1.1356
13,1,12,Gradient Grove,0.8562,-0.0041,-0.0067,-0.1874,-0.1336,0.2307,2.5307
13,1,12,Tensorburg,0.8603,0.0004,0.0007,-0.138,0.0366,0.1428,1.7705
13,1,12,Bayes Bay,0.8723,0.0021,0.0035,-0.0903,0.0465,0.1015,1.5021
13,1,12,Sparseville,0.8485,0.0014,0.001,-0.0937,-0.0941,0.133,1.7039
13,1,12,Offshore B,0.8602,0.0016,0.0022,-0.0891,0.0674,0.1118,1.5642
13,1,12,ReLU Ridge,0.859,0.0003,0.0006,-0.1131,0.0919,0.1459,1.7929
14,1,13,Bayes Bay,0.8702,0.0025,0.0035,-0.0643,0.0293,0.0707,1.3277
14,1,13,Gradient Grove,0.8638,-0.0012,-0.0019,-0.1753,-0.0498,0.1832,2.081
14,1,13,ReLU Ridge,0.866,0.0031,0.0041,-0.1041,0.0647,0.1226,1.6341
14,1,13,Offshore B,0.8654,0.0015,0.0018,-0.1073,0.0636,0.1248,1.6478
14,1,13,Tensorburg,0.8652,0.0009,0.0016,-0.1304,0.0384,0.1359,1.7224
14,1,13,GANopolis,0.8749,-0.003,-0.0053,-0.0925,-0.0017,0.0928,1.45
14,1,13,Sparseville,0.8573,0.0001,-0.0007,-0.114,-0.1327,0.175,2.0153
14,1,13,Offshore A,0.8544,0.002,0.0021,-0.0176,-0.0206,0.0276,1.1168
15,1,14,GANopolis,0.8746,-0.0044,-0.0068,-0.1239,0.0479,0.1366,1.7386
15,1,14,Tensorburg,0.8671,0.0017,0.0027,-0.1263,0.0435,0.1336,1.7066
15,1,14,Offshore A,0.8604,-0.0004,-0.0012,-0.0268,-0.025,0.0369,1.1593
15,1,14,Sparseville,0.861,-0.0015,-0.0024,-0.1323,-0.1209,0.1795,2.051
15,1,14,Offshore B,0.8623,0.0009,0.0011,-0.1192,0.0598,0.1333,1.7047
15,1,14,ReLU Ridge,0.8718,0.0046,0.0057,-0.086,0.0462,0.0976,1.4781
15,1,14,Gradient Grove,0.8726,0.0031,0.005,-0.157,-0.0133,0.1577,1.8812
15,1,14,Bayes Bay,0.8658,0.0001,0.0,-0.0551,0.013,0.0569,1.2562
16,1,15,Tensorburg,0.8657,0.0035,0.0047,-0.1293,0.0462,0.1373,1.7319
16,1,15,ReLU Ridge,0.8665,0.0033,0.0039,-0.0633,0.0258,0.0685,1.3161
16,1,15,Bayes Bay,0.8682,-0.002,-0.0027,-0.1033,0.002,0.1033,1.5155
16,1,15,Gradient Grove,0.8721,0.0016,0.0027,-0.1182,0.0089,0.1189,1.6099
16,1,15,GANopolis,0.8346,-0.0032,-0.0047,-0.2426,0.17,0.2969,3.3829
16,1,15,Offshore A,0.8578,-0.0035,-0.0049,-0.0374,-0.0346,0.051,1.2266
16,1,15,Sparseville,0.8588,-0.0032,-0.0041,-0.143,-0.0785,0.1635,1.9235
16,1,15,Offshore B,0.858,0.001,0.0013,-0.1231,0.051,0.1333,1.7047
17,1,16,Offshore B,0.8506,0.0005,0.0007,-0.1078,0.0326,0.1127,1.57
17,1,16,Sparseville,0.8505,-0.0036,-0.0044,-0.1434,-0.0553,0.1537,1.8497
17,1,16,Offshore A,0.8608,-0.0059,-0.0073,-0.0431,-0.0572,0.0717,1.3327
17,1,16,ReLU Ridge,0.8577,-0.0025,-0.0031,-0.0447,0.0014,0.0451,1.1978
17,1,16,GANopolis,0.7651,-0.0024,-0.0031,-0.3976,0.0298,0.4088,5.1492
17,1,16,Gradient Grove,0.8556,0.0006,0.0008,-0.0991,0.0402,0.1072,1.5357
17,1,16,Tensorburg,0.8562,0.0039,0.0048,-0.1228,0.0388,0.1289,1.675
17,1,16,Bayes Bay,0.8584,-0.0009,-0.0012,-0.1451,-0.0139,0.1458,1.7926
18,1,17,Gradient Grove,0.8525,0.0009,0.0008,-0.1169,0.0417,0.1245,1.6459
18,1,17,Bayes Bay,0.8577,-0.0007,-0.0006,-0.1414,-0.0156,0.1424,1.7683
18,1,17,Tensorburg,0.8469,0.0018,0.0019,-0.1022,0.0142,0.1034,1.5127
18,1,17,ReLU Ridge,0.8636,-0.0033,-0.0041,-0.0505,-0.0079,0.0511,1.227
18,1,17,Offshore A,0.879,-0.0059,-0.0066,-0.0736,-0.0423,0.0889,1.4271
