hour,day,hour_of_day,city,pressure,air_temp,ground_temp,velocity_x,velocity_y,windspeed,damage
1,1,0,Tensorburg,0.9981,0.0001,0.0025,-0.0769,-0.0094,0.0781,0.2035
1,1,0,Sparseville,0.9879,-0.0001,-0.0025,-0.1325,-0.0136,0.1339,0.2789
1,1,0,Offshore B,1.0064,-0.0,-0.0005,-0.1152,0.0118,0.1161,0.2463
1,1,0,ReLU Ridge,1.0106,0.0003,0.0046,-0.1386,-0.0017,0.139,0.2873
1,1,0,GANopolis,0.9954,-0.0001,-0.0017,-0.0662,-0.0125,0.0687,0.193
1,1,0,Bayes Bay,0.984,0.0,0.0009,-0.1083,0.0067,0.1088,0.2449
1,1,0,Gradient Grove,1.0036,0.0,0.0001,-0.116,-0.0281,0.1207,0.2521
1,1,0,Offshore A,1.0179,0.0001,0.0028,-0.1049,-0.0138,0.1071,0.2339
2,1,1,Offshore A,1.0064,0.0005,0.0032,-0.1066,-0.0164,0.1083,0.2408
2,1,1,Gradient Grove,1.0002,0.0002,0.0011,-0.0947,-0.0175,0.0965,0.2213
2,1,1,Bayes Bay,1.0094,-0.0001,-0.0002,-0.0916,0.0102,0.0924,0.2252
2,1,1,GANopolis,1.0068,-0.0006,-0.0042,-0.0929,-0.0277,0.0974,0.2272
2,1,1,ReLU Ridge,1.0063,0.0009,0.0061,-0.1176,0.0017,0.1178,0.2562
2,1,1,Offshore B,1.0034,0.0002,0.0015,-0.1105,-0.0077,0.1109,0.2498
2,1,1,Sparseville,1.0129,0.0001,0.0004,-0.1324,-0.0006,0.1326,0.2673
2,1,1,Tensorburg,1.0092,0.0,0.0003,-0.0648,0.0047,0.0651,0.1941
3,1,2,Bayes Bay,1.0175,-0.0004,-0.0015,-0.1061,0.0119,0.1069,0.23
3,1,2,GANopolis,1.0194,-0.0013,-0.0056,-0.0938,-0.0338,0.0999,0.234
3,1,2,Offshore A,1.0216,0.0011,0.0046,-0.0987,-0.0154,0.1002,0.2325
3,1,2,Gradient Grove,1.0193,-0.0002,-0.0008,-0.0894,-0.0251,0.0935,0.2237
3,1,2,Sparseville,1.0177,0.0006,0.0025,-0.1183,0.0021,0.1184,0.254
3,1,2,Tensorburg,1.0172,-0.0006,-0.002,-0.0683,-0.0055,0.069,0.1967
3,1,2,ReLU Ridge,1.0235,0.0009,0.0038,-0.0905,-0.0001,0.0906,0.2186
3,1,2,Offshore B,1.0165,0.0009,0.0039,-0.1083,-0.0089,0.1087,0.2439
4,1,3,Offshore B,1.0443,0.0013,0.0045,-0.0842,-0.003,0.0843,0.2101
4,1,3,ReLU Ridge,1.0418,0.0002,0.0006,-0.0892,-0.0115,0.09,0.2239
4,1,3,Tensorburg,1.0505,-0.0008,-0.0021,-0.0891,-0.0163,0.0906,0.2246
4,1,3,Sparseville,1.0414,0.0002,0.0005,-0.0875,0.0058,0.0878,0.2132
4,1,3,Gradient Grove,1.0423,-0.0002,-0.0008,-0.1084,-0.0198,0.1104,0.2361
4,1,3,Offshore A,1.0427,0.0013,0.0041,-0.0825,-0.0066,0.0831,0.2114
4,1,3,GANopolis,1.0434,-0.0012,-0.004,-0.1086,-0.0233,0.1112,0.238
4,1,3,Bayes Bay,1.048,0.0,0.0006,-0.1277,0.0199,0.1293,0.2723
5,1,4,Bayes Bay,1.1051,0.0005,0.0021,-0.1087,0.0088,0.1092,0.2358
5,1,4,Sparseville,1.0904,-0.0006,-0.0018,-0.0967,0.0285,0.1011,0.2318
5,1,4,Offshore B,1.0839,0.0,0.0003,-0.0736,0.0042,0.0737,0.195
5,1,4,Tensorburg,1.1018,-0.0007,-0.0009,-0.0851,-0.0071,0.0857,0.2101
5,1,4,ReLU Ridge,1.0804,-0.0008,-0.002,-0.0955,-0.016,0.0969,0.2293
