event_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1,0.8313,1.2064,1.3292,1.2497,0.8865,0.6301,0.4091,0.3122,0.2909,0.3424,0.3609,0.4025,0.4222,0.4424,0.4011,0.3502,0.3567,0.3547,0.3354,0.344,0.4432,0.5789,0.4889,0.513,0.4715,0.4397,0.3715,0.3139,0.2763,0.2795,0.3686,1.1094,0.9207,0.5612,0.3975,0.3274,0.2935,0.2901,0.3109,0.3394,0.3221,0.3223,0.3143,0.3137,0.3357,0.3593,0.3167,0.2691,0.2173,0.2371,0.3456,0.64,0.7466,0.8245,1.1406,0.6271,0.4968,0.6305,0.8163,0.5778,0.5788,0.6832,0.8035,0.7592,0.7743,0.5895,0.4679,0.357,0.3176,0.3952,0.5102,0.5959,0.6578,0.5764,0.4743,0.3808,0.3357,0.3911,0.415,0.3122,0.2186,0.3406,0.7843,2.014,1.0347,0.2906,0.3668,0.4101,0.3525,0.4436,0.4825,0.6389,0.7835,0.7273,0.5804,0.3422,0.2126,0.1661,0.1823,0.3557,8.4095,4.3097,4.124,9.6226,4.2788,2.1049,0.9303,0.2589,0.1963,0.204,0.5889,0.5838,0.4239,0.4178,0.4658,0.7258,0.5594,0.6327,0.7845,0.8457
2,0.3472,0.4315,0.6081,0.732,0.6964,0.4054,0.2775,0.2009,0.2571,0.2681,0.3659,0.3552,0.3542,0.3608,0.2563,0.2387,0.3566,0.489,0.6227,0.5761,0.5336,0.4016,0.2959,0.2309,0.2535,0.3355,0.5141,0.7424,1.1605,0.9753,0.576,0.3941,0.3785,0.2736,0.2225,0.398,1.4815,1.8596,0.7345,0.6243,0.595,0.5235,0.5213,0.4614,0.5028,0.4533,0.5404,0.6407,0.5766,0.6211,0.511,0.411,0.3463,0.2566,0.1991,0.1853,0.3425,0.2251,0.2105,0.2439,0.24,0.1909,0.1926,0.2176,0.3097,0.5135,0.8829,0.9605,1.0678,0.9773,0.8786,0.6827,0.5617,0.3965,0.3126,0.2935,0.3641,0.5121,0.6738,0.908,0.8266,0.6825,0.6133,0.7577,0.5704,0.5499,0.6852,0.8581,0.8141,0.7633,0.6609,0.4775,0.3694,0.3077,0.2716,0.2621,0.3267,0.6229,1.0138,1.0363,0.8159,0.7669,0.6197,0.5299,0.4071,0.3338,0.2901,0.3065,0.3164,0.3482,0.3829,0.3509,0.2875,0.3002,0.2891,0.2539,0.2696,0.3993,0.5245,0.5446
3,0.2284,0.1803,0.1982,0.2469,0.303,0.3938,0.4551,0.4714,0.5208,0.5164,0.4784,0.4866,0.396,0.362,0.3749,0.4996,0.6298,0.6567,0.672,0.9207,1.0079,0.912,0.6897,0.4067,0.3359,0.3808,0.548,0.6898,0.6534,0.5081,0.3839,0.3122,0.2676,0.2526,0.2832,0.3587,0.4383,0.6329,0.7111,0.5725,0.5147,0.4285,0.3892,0.3172,0.3147,0.3104,0.2718,0.3653,0.418,0.4466,0.3467,0.3404,0.3393,0.4029,0.591,0.7742,0.5375,0.4715,0.4994,0.4601,0.3786,0.3107,0.2831,0.3214,0.54,1.2524,1.9437,2.124,2.1534,1.3729,0.9222,0.8965,0.7775,0.6334,0.5124,0.396,0.3798,0.4536,0.5974,0.5807,0.4734,0.4145,0.3272,0.2842,0.2677,0.2981,0.319,0.3899,0.388,0.3904,0.3419,0.2926,0.2832,0.3457,1.8344,65.4371,500.3153,26.3732,6.65,1.1615,0.4225,0.3656,0.3389,0.3399,0.3871,0.4464,0.4229,0.4372,0.3929,0.4255,0.3822,0.3673,0.3065,0.2916,0.3176,0.3615,0.4098,0.4883,0.5176,0.4813
4,0.3312,0.2956,0.2457,0.2036,0.267,1.458,124.0737,42.6828,19.1407,4.4878,1.3539,0.4982,0.392,0.386,0.3982,0.4236,0.4738,0.491,0.5128,0.449,0.4453,0.4366,0.3772,0.2752,0.2619,0.2969,0.4121,0.4702,0.508,0.4717,0.4931,0.4997,0.5267,0.5427,0.4759,0.5862,0.839,1.0224,0.9327,0.673,0.5024,0.4269,0.3366,0.3133,0.3005,0.3369,0.3799,0.4641,0.4855,0.6021,0.6097,0.516,0.4729,0.4059,0.3532,0.2989,0.2239,0.2149,0.324,0.3647,0.3661,0.2827,0.3132,0.3204,0.35,0.5003,0.7947,0.721,0.5324,0.4496,0.5053,0.4731,0.4101,0.3457,0.3797,0.4918,0.7993,1.1009,1.3542,1.5982,1.2769,1.1359,0.9285,0.7245,0.6525,0.6853,0.6058,0.5316,0.4801,0.4193,0.3727,0.4138,0.3975,0.3375,0.3111,0.3001,0.3258,0.3155,0.3288,0.3837,0.3703,0.3056,0.2591,0.2131,0.1959,0.4294,2.2851,24.7569,17.0948,3.8402,0.5603,0.3469,0.3891,0.366,0.3776,0.363,0.4132,0.4888,0.5121,0.5475
5,10.3347,7.3179,11.2472,1.3901,1.1368,0.8217,0.7163,0.5782,0.4579,0.4573,0.5949,0.7284,0.735,0.5163,0.4409,0.5432,0.5042,0.3286,0.2392,0.2827,0.4673,1.2581,3.1793,1.5584,0.3624,0.2664,0.2261,0.2692,0.2776,0.3523,0.5099,0.6703,0.9039,1.0058,0.8896,0.8865,0.5567,0.4899,0.4281,0.433,0.3777,0.3974,0.4688,0.589,0.9024,0.8145,0.5558,0.5142,0.5609,0.5728,0.5995,0.7359,0.7487,0.7482,0.7413,0.7076,0.6016,0.4397,0.3756,0.3539,0.477,0.6013,0.7438,0.8055,0.6545,0.5464,0.4453,0.3957,0.4096,0.3573,0.3195,0.3443,0.3755,0.4213,0.3866,0.3258,0.2691,0.2617,0.2753,0.3098,0.3528,0.4331,0.4218,0.4546,0.5106,0.4484,0.3071,0.2328,0.2201,0.3337,1.0222,2.4564,2.6974,2.824,1.9743,2.2725,1.9575,0.9528,0.4678,0.3321,0.3115,0.3178,0.4016,0.4046,0.4532,0.4958,0.4911,0.4104,0.3236,0.2993,0.3126,0.3481,0.3739,0.3764,0.455,0.4553,0.409,0.3804,0.3666,0.4299
6,0.3421,0.2336,0.2671,0.4519,0.6474,0.7275,0.4419,0.4541,0.5012,0.4729,0.4125,0.3218,0.3244,0.3067,0.2759,0.3775,0.4454,0.431,0.433,0.3768,0.2928,0.2273,0.1874,0.2476,0.561,5.0747,56.0441,5.4494,2.671,1.1392,0.3574,0.2509,0.2955,0.3315,0.393,0.555,0.6003,0.6573,0.5553,0.4569,0.4142,0.3832,0.3505,0.3175,0.3764,0.5573,0.7086,0.7143,0.6377,0.5896,0.5932,0.578,0.564,0.3707,0.5512,0.9502,1.2186,1.0861,0.6836,0.4877,0.3746,0.323,0.3045,0.2924,0.3183,0.3318,0.3464,0.3559,0.4662,0.5951,0.5993,0.4847,0.368,0.3061,0.2634,0.2907,0.3306,0.4056,0.5138,0.4685,0.4097,0.4503,0.5333,0.3448,0.6098,0.7202,0.5819,0.6042,0.6016,0.6244,0.5943,0.4378,0.3187,0.2988,0.4074,0.686,0.9796,1.0675,1.2583,1.2515,1.1,1.1029,1.2232,1.0089,0.6076,0.4011,0.3487,0.3886,0.4711,0.4433,0.4232,0.3899,0.345,0.2892,0.2701,0.2962,0.3374,0.3775,0.3918,0.3883
7,0.2865,0.2978,0.2951,0.3133,0.3477,0.3517,0.333,0.2942,0.2672,0.2394,0.227,0.2834,0.484,0.9105,1.1626,1.2752,0.9073,0.5391,0.3644,0.3133,0.352,0.3335,0.3278,0.3815,0.4132,0.4552,0.482,0.4759,0.4795,0.4428,0.3698,0.3595,0.4304,0.4168,0.4275,0.4152,0.4045,0.4188,0.3536,0.3191,0.2694,0.2937,0.3046,0.3826,0.5509,0.5162,0.4036,0.3444,0.31,0.2947,0.2953,0.3069,0.3352,0.3725,0.4087,0.3813,0.3959,0.4131,0.3931,0.4004,0.3111,0.2993,0.299,0.3161,0.4462,0.5526,0.5407,0.319,0.2791,0.2817,0.3932,1.1055,3.1319,3.1715,2.8884,0.7392,0.5498,0.6088,0.505,0.4062,0.4435,0.479,0.4982,0.4343,0.5911,0.8122,0.972,1.0076,0.8193,0.4146,0.6567,0.9587,0.6114,0.7255,0.8468,0.7407,0.7201,0.6403,0.5315,0.3897,0.3044,0.4762,0.9428,0.8747,0.816,0.5498,0.4498,0.3506,0.2249,0.1652,0.4162,14.4626,923.3022,431.067,26.3958,11.9337,1.4621,0.4314,0.5247,0.3575
8,0.3165,0.2576,0.2577,0.3313,0.4718,0.5535,0.5044,0.432,0.321,0.3445,0.4708,0.5187,0.4924,0.4553,0.5083,0.6436,0.6942,0.6303,0.5872,0.4655,0.3608,0.3136,0.2947,0.3565,0.4973,0.6573,0.711,0.5846,0.5218,0.4803,0.4303,0.3944,0.3447,0.2907,0.2371,0.2729,0.3773,0.4912,0.4525,0.3195,0.2497,0.2375,0.2512,0.2659,0.2616,0.3359,0.443,0.536,0.3992,0.2929,0.2524,0.2543,0.3,0.5899,1.1958,1.589,1.4327,1.5574,1.1763,1.3043,1.3234,0.779,0.6091,0.4667,0.4269,0.4738,0.4087,0.4566,0.5259,0.5674,0.5335,0.4525,0.393,0.3653,0.3394,0.346,0.4054,0.4644,0.4226,0.3822,0.3389,0.3024,0.3274,0.5227,1.3952,1.2378,0.1772,0.1877,0.2079,0.2287,0.2652,0.3245,0.3779,0.3967,0.4435,0.4494,0.5429,0.5202,0.5122,0.4448,0.3518,0.3098,0.3257,0.397,0.4544,0.5764,0.5926,0.5797,0.5177,0.5161,0.5525,0.4555,0.3124,0.3815,0.5015,0.6931,0.6378,0.6225,0.6239,0.4843
9,0.4864,0.5705,0.5839,0.5644,0.5964,0.6232,0.6043,0.468,0.3693,0.3679,0.4223,0.4546,0.5916,0.6532,0.7485,0.8291,0.7661,0.6664,0.5013,0.4561,0.5191,0.5465,0.5967,0.5577,0.5501,0.5108,0.4292,0.3428,0.3348,0.3348,0.3403,0.3605,0.4197,0.5181,0.4427,0.3682,0.281,0.2272,0.1874,0.1799,0.316,1.2856,4.0637,5.1049,2.6543,1.2071,0.454,0.2901,0.324,0.4104,0.6533,1.0392,1.0044,0.9821,0.9131,0.782,0.6804,0.6321,0.565,0.4479,0.3999,0.4973,0.5841,0.5568,0.5587,0.5408,0.5362,0.541,0.4952,0.4457,0.3154,0.3415,0.6252,0.6255,0.4532,0.3349,0.2974,0.2711,0.2732,0.2968,0.3289,0.523,0.8576,1.1428,0.9372,0.8754,0.6789,0.5133,0.4338,0.3691,0.3293,0.4001,0.4265,0.3841,0.635,0.9012,0.7263,0.5434,0.3916,0.3072,0.2918,0.3747,0.6092,0.617,0.6171,0.6099,0.6309,0.4981,0.3907,0.3693,0.3942,0.5061,0.7916,1.1496,0.8568,0.9466,1.2192,1.4434,0.7056,0.2745
10,0.3107,0.3153,0.3411,0.3701,0.382,0.4182,0.405,0.3634,0.3296,0.2622,0.2772,0.2997,0.3939,0.5193,0.5354,0.6804,0.6319,0.5715,0.6507,0.6588,0.5341,0.4443,0.548,0.6795,0.656,0.6889,0.6823,0.6193,0.4748,0.377,0.3168,0.2878,0.3457,0.4196,0.5488,0.4837,0.457,0.4474,0.4666,0.4616,0.4352,0.3505,0.2759,0.2153,0.3087,0.4709,0.6846,0.6585,0.4288,0.3345,0.2645,0.3248,0.3816,0.4707,0.5378,0.4478,0.4689,0.441,0.3281,0.231,0.2293,0.2755,0.613,1.6251,2.5829,5.3359,5.5157,2.1871,0.6889,0.405,0.3004,0.3164,0.3913,0.5206,0.6044,0.7423,0.7442,0.6777,0.6544,0.5626,0.5174,0.4499,0.4082,0.3659,0.3746,0.4097,0.4174,0.3722,0.3538,0.3165,0.279,0.2761,0.4257,1.0726,18.8844,56.7478,3.5646,0.397,0.3056,0.2684,0.2605,0.2971,0.3274,0.4266,0.5705,0.6592,0.6908,0.6752,0.6131,0.4346,0.3584,0.3523,0.3502,0.3865,0.477,0.5626,0.4965,0.4445,0.4144,0.3604
